archetype,metric_dist,configured_lag,blend_weight,n_entities,n_periods,seed,peak_lag_per_entity_median,peak_magnitude,unlagged_magnitude
sigmoid,poisson,1,0.6,100,120,9000,1.0,0.6012837866949683,0.5557604839962449
sigmoid,poisson,1,0.6,100,120,9001,2.0,0.612180797541859,0.5547903107047608
sigmoid,poisson,1,0.6,100,120,9002,2.0,0.6132029751767116,0.5540371433979877
sigmoid,poisson,1,0.6,100,120,9003,2.0,0.6075411188954118,0.5451394653691514
sigmoid,poisson,1,0.6,100,120,9004,1.0,0.6117142334748531,0.5418856266046125
sigmoid,poisson,1,0.8,100,120,9000,2.0,0.603585585515773,0.562081695537911
sigmoid,poisson,1,0.8,100,120,9001,1.0,0.6133012817258487,0.5588702829651411
sigmoid,poisson,1,0.8,100,120,9002,2.0,0.605945026549364,0.5504000421323384
sigmoid,poisson,1,0.8,100,120,9003,2.0,0.6071375873752913,0.5472963324229256
sigmoid,poisson,1,0.8,100,120,9004,2.0,0.6003256359088132,0.5396564766965632
sigmoid,poisson,1,1.0,100,120,9000,2.0,0.60794326331379,0.56069334233181
sigmoid,poisson,1,1.0,100,120,9001,1.0,0.6122490239549586,0.5454868991012929
sigmoid,poisson,1,1.0,100,120,9002,2.0,0.6111532912679474,0.5491982978595594
sigmoid,poisson,1,1.0,100,120,9003,2.0,0.6057561299596952,0.5467600908393583
sigmoid,poisson,1,1.0,100,120,9004,1.0,0.6001290209546055,0.5524750842984116
sigmoid,poisson,2,0.6,100,120,9000,2.0,0.6052470797991615,0.5691376125470551
sigmoid,poisson,2,0.6,100,120,9001,2.0,0.6120788862445137,0.5485639521358865
sigmoid,poisson,2,0.6,100,120,9002,2.0,0.6121357385583968,0.5566229214831104
sigmoid,poisson,2,0.6,100,120,9003,2.0,0.5990085576814226,0.5553739856496068
sigmoid,poisson,2,0.6,100,120,9004,2.0,0.6158045692665524,0.5548723885828768
sigmoid,poisson,2,0.8,100,120,9000,2.0,0.612976828618761,0.5597031732032778
sigmoid,poisson,2,0.8,100,120,9001,2.0,0.610779355010489,0.5571655670828561
sigmoid,poisson,2,0.8,100,120,9002,2.0,0.6096913877136488,0.570992887365934
sigmoid,poisson,2,0.8,100,120,9003,2.0,0.612290361539929,0.551427912162574
sigmoid,poisson,2,0.8,100,120,9004,2.0,0.6130737200455816,0.5475142443648306
sigmoid,poisson,2,1.0,100,120,9000,2.0,0.6178708733456958,0.5379537003320447
sigmoid,poisson,2,1.0,100,120,9001,2.0,0.6161631811724093,0.5551854182348284
sigmoid,poisson,2,1.0,100,120,9002,2.0,0.6248618496594054,0.5508238436707092
sigmoid,poisson,2,1.0,100,120,9003,2.5,0.6069976568501214,0.5454137181949636
sigmoid,poisson,2,1.0,100,120,9004,2.0,0.6051950795275673,0.555132251245628
sigmoid,poisson,5,0.6,100,120,9000,3.0,0.6271542564355984,0.5551720383577878
sigmoid,poisson,5,0.6,100,120,9001,3.0,0.6194316727700663,0.5503085857578589
sigmoid,poisson,5,0.6,100,120,9002,3.0,0.6343238438573642,0.5536277625850188
sigmoid,poisson,5,0.6,100,120,9003,2.0,0.6239448677766095,0.5527650656805263
sigmoid,poisson,5,0.6,100,120,9004,2.5,0.6251662517210836,0.5646445849038952
sigmoid,poisson,5,0.8,100,120,9000,2.5,0.6270632844732613,0.564390884310706
sigmoid,poisson,5,0.8,100,120,9001,3.0,0.6259790745419909,0.5556925055889675
sigmoid,poisson,5,0.8,100,120,9002,3.0,0.625508809798843,0.5520305833776424
sigmoid,poisson,5,0.8,100,120,9003,3.0,0.6220487142362959,0.552738379142933
sigmoid,poisson,5,0.8,100,120,9004,3.0,0.6287654873176833,0.5506587204667195
sigmoid,poisson,5,1.0,100,120,9000,2.5,0.6290412000946,0.5735017279122621
sigmoid,poisson,5,1.0,100,120,9001,3.0,0.6355040367424812,0.5616123868372389
sigmoid,poisson,5,1.0,100,120,9002,2.0,0.6274157458053717,0.5506516198545035
sigmoid,poisson,5,1.0,100,120,9003,3.0,0.6286120401059967,0.5503547785186709
sigmoid,poisson,5,1.0,100,120,9004,3.0,0.6331113755964335,0.5531598195934746
sigmoid,poisson,10,0.6,100,120,9000,3.0,0.6321303542877665,0.5564048784841717
sigmoid,poisson,10,0.6,100,120,9001,3.0,0.6352482519563352,0.5583084267736078
sigmoid,poisson,10,0.6,100,120,9002,3.0,0.6379598748405542,0.5659529959529095
sigmoid,poisson,10,0.6,100,120,9003,4.0,0.6251813648436457,0.5585131293051044
sigmoid,poisson,10,0.6,100,120,9004,3.0,0.6288402675695418,0.5566067783804736
sigmoid,poisson,10,0.8,100,120,9000,4.0,0.6315543417743346,0.5769156675232148
sigmoid,poisson,10,0.8,100,120,9001,3.0,0.6409765965217797,0.5602501044582897
sigmoid,poisson,10,0.8,100,120,9002,3.5,0.6383942648330281,0.5573482270590511
sigmoid,poisson,10,0.8,100,120,9003,4.0,0.6391986695934753,0.5478697645139687
sigmoid,poisson,10,0.8,100,120,9004,2.0,0.6284929216204482,0.5667224768570647
sigmoid,poisson,10,1.0,100,120,9000,4.0,0.6341805356107006,0.56405525798464
sigmoid,poisson,10,1.0,100,120,9001,4.0,0.6347260557154604,0.5713484240429978
sigmoid,poisson,10,1.0,100,120,9002,3.0,0.6301102344213956,0.5675642506687102
sigmoid,poisson,10,1.0,100,120,9003,4.0,0.6370631358994936,0.573261843362586
sigmoid,poisson,10,1.0,100,120,9004,4.0,0.637845691343216,0.559740929702808
sigmoid,poisson,30,0.6,100,120,9000,5.0,0.6180515320551655,0.5340636075807097
sigmoid,poisson,30,0.6,100,120,9001,5.0,0.6183252270717139,0.5402772675236607
sigmoid,poisson,30,0.6,100,120,9002,5.0,0.6141592921162726,0.5393455853887962
sigmoid,poisson,30,0.6,100,120,9003,4.0,0.6274805017687421,0.5373060971806516
sigmoid,poisson,30,0.6,100,120,9004,4.0,0.6210633299567936,0.5237003694428524
sigmoid,poisson,30,0.8,100,120,9000,5.0,0.6286264300575043,0.5502198311390915
sigmoid,poisson,30,0.8,100,120,9001,6.0,0.6236587649935041,0.5361763836088729
sigmoid,poisson,30,0.8,100,120,9002,4.5,0.6099398958144877,0.5330555508848602
sigmoid,poisson,30,0.8,100,120,9003,5.0,0.6281706928571187,0.5331842115956977
sigmoid,poisson,30,0.8,100,120,9004,5.5,0.6262910093187024,0.5160233113483678
sigmoid,poisson,30,1.0,100,120,9000,6.0,0.6320834559798282,0.520303988846142
sigmoid,poisson,30,1.0,100,120,9001,8.0,0.6230238184908468,0.5276968106060381
sigmoid,poisson,30,1.0,100,120,9002,10.0,0.6207443123598003,0.5064324653704968
sigmoid,poisson,30,1.0,100,120,9003,9.0,0.6285997580176917,0.5102328536074051
sigmoid,poisson,30,1.0,100,120,9004,7.0,0.634995064870771,0.5144641899449293
